ActionBarSherlock,25335
agera,12843
android-async-http,7368
Android-CleanArchitecture,2777
Android-ObservableScrollView,11646
Android-PullToRefresh,3583
android-Ultra-Pull-To-Refresh,5219
Android-Universal-Image-Loader,7218
android-UniversalMusicPlayer,6283
androidannotations,36504
AndroidSwipeLayout,2667
AndroidUtilCode,10121
AndroidViewAnimations,1520
BaseRecyclerViewAdapterHelper,4866
butterknife,10167
cheesesquare,438
CircleImageView,323
dubbo,104982
EventBus,5013
ExoPlayer,64471
fastjson,125627
FizzBuzzEnterpriseEdition,1387
flexbox-layout,6617
fresco,425688
glide,41065
greenDAO,19656
guava,254991
HomeMirror,1490
Hystrix,50051
interviews,3844
iosched,44917
java-design-patterns,23675
java8-tutorial,2393
kotlin,622306
leakcanary,3986
libgdx,259757
lottie-android,7179
Material-Animations,992
material-dialogs,7486
MaterialDesignLibrary,2882
MaterialDrawer,8590
MPAndroidChart,24702
netty,225314
okhttp,52510
PhotoView,1538
picasso,9355
plaid,17752
PocketHub,21660
realm-java,65184
retrofit,16969
RxAndroid,1183
RxJava,239256
Signal-Android,69397
SlidingMenu,3212
spring-boot,203914
spring-framework,566248
stetho,18201
storm,46306
tinker,26862
ViewPagerIndicator,3072
zxing,104384
