language,medianabs,type,strongweak,ooandnoo,total,paradigm,all
PHP,10,dynamic,weak,oo,dynamic-weak-oo,scripting,dynamic-weak
Python,10,dynamic,strong,oo,dynamic-strong-oo,scripting,dynamic-strong
Ruby,10,dynamic,strong,oo,dynamic-strong-oo,scripting,dynamic-strong
C,11,static,weak,noo,static-weak-noo,procedural,static-weak
JS,14,dynamic,weak,noo,dynamic-weak-noo,scripting,dynamic-weak
C++,15,static,weak,oo,static-weak-oo,procedural,static-weak
Obj-C,15,static,weak,oo,static-weak-oo,procedural,static-weak
Go,19.75,static,strong,noo,static-strong-noo,procedural,static-strong
Java,23,static,strong,oo,static-strong-oo,procedural,static-strong
C#,23.75,static,strong,oo,static-strong-oo,procedural,static-strong
