projectname,medium,medium-issue,medium-bug,changepro,changepro-issue,changepro-bug,language,totalcommits,sloc,time,hour,refactor_count,filechange_count,slope,rvalue,issue_count,duration,contributors,agemonth,ageyear,contributor,"total_file_num	filenumpro",updatetime,,
0xd4d-dnSpy,31,45,82,0.000123516,0.000179297,0.000326719,C#,1410,250980,154666.5,42.96291667,6,25,0.066703818,0.002334169,84,58132490,6,22.42765818,1.868971515,6,2954,0.008463101,22.90597222,9.12661E-05
activeadmin-activeadmin,2,3,12,0.000121433,0.000182149,0.000728597,Ruby,4774,16470,10960596.5,3044.610139,135,2,-8.476117643,-0.056452702,182,222557637,416,85.86328588,7.155273823,416,316,0.006329114,1617.226944,0.098192286
adam-p-markdown-here,6,13,15.5,0.000243893,0.000528434,0.000630056,JavaScript,762,24601,2608241,724.5113889,8,1,-8.035569874,-0.031013393,62,157019558,10,60.57853318,5.048211098,10,30,0.033333333,319.6354167,0.012992781
adobe-brackets,13,14,39,-1,-1,0.000130239,JavaScript,17369,299450,3969682,1102.689444,303,2,-11.10107514,-0.077789452,142,170606720,332,65.82049383,5.485041152,332,871,0.002296211,633.8479167,0.002116707
AFNetworking-AFNetworking,7,7,11,0.000875328,0.000875328,0.001375516,Objective-C,2731,7997,1052964,292.49,94,1,23.34281952,0.180649921,43,187021876,274,72.15350154,6.012791795,274,47,0.021276596,157.8938889,0.01974414
afollestad-material-dialogs,4,7.5,37,0.000534331,0.00100187,0.004942559,Java,1467,7486,195836,54.39888889,2,1,-4.928412478,-0.251117408,142,78914298,71,30.44533102,2.537110918,71,36,0.027777778,20.97861111,0.002802379
airbnb-lottie-android,16,10.5,6,0.002228723,0.001462599,0.000835771,Java,568,7179,149671,41.57527778,8,1,7.618323413,0.277452978,7,18105438,26,6.985122685,0.582093557,26,107,0.009345794,7.800833333,0.001086618
airbnb-lottie-ios,13,11,37,0.001976285,0.001672241,0.00562481,Objective-C,260,6578,126979,35.27194444,2,2,-83.34194444,-0.948333426,3,18105682,36,6.985216821,0.582101402,36,95,0.021052632,35.27166667,0.005362065
airbnb-superset,2,3,10.5,0.000121065,0.000181598,0.000635593,Python,1958,16520,711810,197.725,48,1,19.00455824,0.423010945,103,56394266,129,21.75704707,1.813087256,129,122,0.008196721,84.94444444,0.005141916
akkadotnet-akka.net,51,32,26,0.000222675,0.000139718,0.000113521,C#,4039,229033,804008.5,223.3356944,118,2,1.660287128,0.057571434,284,105572542,121,40.73014738,3.394178948,121,1561,0.00128123,100.4716667,0.000438678
alcatraz-Alcatraz,3,5,14,0.001508296,0.002513826,0.007038713,Objective-C,761,1989,330482.5,91.80069444,17,1,-2694.15625,-0.775013871,4,127250390,46,49.09351466,4.091126222,46,40,0.025,88.03902778,0.04426296
alexjc-neural-doodle,12,2.5,3.5,0.029268293,0.006097561,0.008536585,Python,123,410,2999351,833.1530556,2,1,nan,0,1,36678282,3,14.15057176,1.179214313,3,1,1,494.5713889,1.20627168
alexjc-neural-enhance,10,1.5,2,0.027100271,0.004065041,0.005420054,Python,103,369,141025.5,39.17375,2,1,7.466555556,0.349269607,10,18572290,10,7.16523534,0.597102945,10,1,1,14.80305556,0.040116682
alibaba-AndFix,0,0,10,0,0,0.00896861,C++,52,1115,-1,-0.000277778,0,3,null,null,0,51615201,4,19.91327199,1.659439333,4,12,0.25,-0.000277778,-2.49128E-07
alibaba-dubbo,12,20,23,0.000114305,0.000190509,0.000219085,Java,1838,104982,123,0.034166667,74,1,0.023472222,0.99512821,3,153806638,17,59.33898071,4.944915059,17,1210,0.000826446,0.034166667,3.25453E-07
alibaba-fastjson,51,44,46,0.000405964,0.000350243,0.000366163,Java,2090,125627,809954,224.9872222,127,2,24.70037795,0.361456884,43,173595668,57,66.97363735,5.581136445,57,2181,0.000917011,111.1886111,0.000885069
alibaba-tengine,5,4,8,3.15E-05,2.52E-05,5.05E-05,C,942,158497,753131,209.2030556,2,1,96.52144742,0.392587502,15,161587523,56,62.34086535,5.195072113,56,268,0.003731343,138.3619444,0.000872963
allinurl-goaccess,4,6.5,50,0.000231817,0.000376702,0.002897711,C,2339,17255,276036,76.67666667,10,3,-0.776984463,-0.019341209,59,120125872,45,46.34485802,3.862071502,45,32,0.09375,22.00277778,0.001275154
alvarotrigo-fullPage.js,8,10,30,0.001474383,0.001842978,0.005528935,JavaScript,1274,5426,1211698.5,336.5829167,6,2,26.29591799,0.29103623,106,114220891,97,44.06670177,3.672225148,97,13,0.153846154,62.82222222,0.011577999
andlabs-libui,7,4,4,0.000734137,0.000419507,0.000419507,C,2802,9535,66934,18.59277778,4,1,-480.9321667,-0.708939223,5,64668246,17,24.94916898,2.079097415,17,74,0.013513514,18.49777778,0.001939987
android10-Android-CleanArchitecture,6,4,4,0.002160605,0.001440403,0.001440403,Java,242,2777,2375688,659.9133333,31,1,nan,0,1,85441834,9,32.96367052,2.746972544,9,81,0.012345679,659.9127778,0.237635138
androidannotations-androidannotations,30,31,18,0.000821828,0.000849222,0.000493097,Java,2701,36504,-1,-0.000277778,69,2,null,null,0,168059517,59,64.83777662,5.403148052,59,879,0.002275313,-0.000277778,-7.60952E-09
angular-angular.js,8,14,28,3.45E-05,6.05E-05,0.000120907,JavaScript,8462,231582,1981583,550.4397222,455,2,3.163382166,0.348500221,2177,231161123,441,89.18253202,7.431877668,441,1106,0.001808318,190.7047222,0.000823487
ansible-ansible,2,3,10,5.96E-06,8.95E-06,2.98E-05,Python,29763,335327,437563,121.5452778,286,1,0.240234821,0.176763662,7323,162853318,399,62.82921219,5.235767683,399,1712,0.000584112,39.35527778,0.000117364
antirez-disque,8,2,14,0.00019896,4.97E-05,0.000348181,C,603,40209,2631687.5,731.0243056,13,1,1448.128028,0.761906297,4,63748431,54,24.59430208,2.049525174,54,129,0.007751938,627.9394444,0.015616888
